trading_symbol,instrument_key,instrument_type,name,exchange
UFLEX,BSE_EQ|INE516A01017,B,UFLEX LTD.,BSE
GSLSU,NSE_EQ|INE0JSX01015,EQ,GLOBAL SURFACES LIMITED,NSE
KSOLVES,NSE_EQ|INE0D6I01023,EQ,KSOLVES INDIA LIMITED,NSE
HMAAGRO,NSE_EQ|INE0ECP01024,EQ,HMA AGRO INDUSTRIES LTD,NSE
KITEX,NSE_EQ|INE602G01020,EQ,KITEX GARMENTS LTD,NSE
ALKALI,BSE_EQ|INE773I01017,B,ALKALI METALS LTD.,BSE
EMSLIMITED,BSE_EQ|INE0OV601013,B,EMS LIMITED,BSE
COMSYN,BSE_EQ|INE073V01015,T,Commercial Syn Bags Limited,BSE
SANCF,BSE_EQ|INE654D01010,Z,SANCHAY FINVEST LTD.,BSE
SMARTLINK,BSE_EQ|INE178C01020,B,Smartlink Holdings Limited,BSE
WEWIN,BSE_EQ|INE082W01014,T,We Win Limited,BSE
JINDALPHOT,NSE_EQ|INE796G01012,EQ,JINDAL PHOTO LIMITED,NSE
MRF,NSE_EQ|INE883A01011,EQ,MRF LTD,NSE
TALBROAUTO,BSE_EQ|INE187D01029,B,TALBROS AUTOMOTIVE COMPONENTS,BSE
INDOWIND,BSE_EQ|INE227G01018,B,INDOWIND ENERGY LTD.,BSE
NAHARCAP,NSE_EQ|INE049I01012,EQ,NAHAR CAP & FIN.,NSE
NEWGEN,BSE_EQ|INE619B01017,A,Newgen Software Technologies L,BSE
KHANDSE,BSE_EQ|INE060B01014,B,KHANDWALA SECURITIES LTD.,BSE
OMAXAUTO,NSE_EQ|INE090B01011,EQ,OMAX AUTOS LTD,NSE
MAHSEAMLES,BSE_EQ|INE271B01025,A,MAHARASHTRA SEAMLESS LTD.,BSE
GVFILM,BSE_EQ|INE395B01048,Z,GV FILMS LTD.,BSE
JSWHL,NSE_EQ|INE824G01012,EQ,JSW HOLDINGS LIMITED,NSE
INOXINDIA,BSE_EQ|INE616N01034,A,INOX India Limited,BSE
WIPRO,NSE_EQ|INE075A01022,EQ,WIPRO LTD,NSE
GIANLIFE,BSE_EQ|INE063601012,Z,Gian Life Care Limited,BSE
OBEROIRLTY,BSE_EQ|INE093I01010,A,OBEROI REALTY LTD.,BSE
NELCAST,BSE_EQ|INE189I01024,B,NELCAST LTD.,BSE
SANSTAR,NSE_EQ|INE08NE01025,EQ,SANSTAR LIMITED,NSE
NGLFINE,NSE_EQ|INE887E01022,EQ,NGL FINE CHEM LIMITED,NSE
NORTHARC,NSE_EQ|INE850M01015,EQ,NORTHERN ARC CAPITAL LTD,NSE
TNPL,NSE_EQ|INE107A01015,EQ,TAMILNADU NEWSPRT & PAPER,NSE
KALYANIFRG,BSE_EQ|INE314G01014,B,KALYANI FORGE LTD.,BSE
TERASOFT,BSE_EQ|INE482B01010,T,TERA SOFTWARE LTD.,BSE
PARSHVA,BSE_EQ|INE05MV01019,T,Parshva Enterprises Limited,BSE
QPOWER,NSE_EQ|INE0SII01026,EQ,QUALITY POWER ELEC EQUP L,NSE
ISGEC,BSE_EQ|INE858B01029,B,ISGEC HEAVY ENGINEERING LTD.,BSE
CESC,BSE_EQ|INE486A01021,A,CESC LTD.,BSE
REPCOHOME,NSE_EQ|INE612J01015,EQ,REPCO HOME FINANCE LTD,NSE
DIVGIITTS,BSE_EQ|INE753U01022,B,DIVGI TORQTRANSFER SYSTEMS LIM,BSE
A1L,BSE_EQ|INE911Z01017,T,A-1 LIMITED,BSE
AKSHOPTFBR,BSE_EQ|INE523B01011,B,AKSH OPTIFIBRE LTD.,BSE
METROBRAND,BSE_EQ|INE317I01021,A,Metro Brands Limited,BSE
ARKADE,BSE_EQ|INE0QRL01017,B,ARKADE DEVELOPERS LIMITED,BSE
LTF,NSE_EQ|INE498L01015,EQ,L&T FINANCE LIMITED,NSE
SIGACHI,NSE_EQ|INE0D0K01022,EQ,SIGACHI INDUSTRIES LTD,NSE
CHEMBOND,NSE_EQ|INE995D01025,EQ,CHEMBOND MATERIALTECH LTD,NSE
AEGISVOPAK,NSE_EQ|INE0INX01018,EQ,AEGIS VOPAK TERMINALS LTD,NSE
NBCC,BSE_EQ|INE095N01031,A,NBCC (India) Limited,BSE
JGCHEM,BSE_EQ|INE0MB501011,B,J.G.Chemicals Limited,BSE
TREL,BSE_EQ|INE0O3901029,B,Transindia Real Estate Limited,BSE
HAL,BSE_EQ|INE066F01020,A,Hindustan Aeronautics Limited,BSE
SUNFLAG,BSE_EQ|INE947A01014,B,SUNFLAG IRON & STEEL CO.LTD.,BSE
KSHITIJPOL,NSE_EQ|INE013801027,EQ,KSHITIJ POLYLINE LIMITED,NSE
GHCLTEXTIL,BSE_EQ|INE0PA801013,B,GHCL Textiles Limited,BSE
ESSENTIA,NSE_EQ|INE418N01035,EQ,INTEGRA ESSENTIA LIMITED,NSE
AKSHARCHEM,NSE_EQ|INE542B01011,EQ,AKSHARCHEM INDIA LIMITED,NSE
UYFINCORP,BSE_EQ|INE152C01025,B,U. Y. FINCORP LIMITED,BSE
NOVAAGRI,NSE_EQ|INE02H701025,EQ,NOVA AGRITECH LIMITED,NSE
FCSSOFT,BSE_EQ|INE512B01022,B,FCS SOFTWARE SOLUTIONS LTD.,BSE
SAMPANN,NSE_EQ|INE735M01018,EQ,SAMPANN UTPADAN INDIA LTD,NSE
VINTRON,BSE_EQ|INE043B01028,Z,VINTRON INFORMATICS LTD.,BSE
SOLARWORLD,NSE_EQ|INE0TY101024,EQ,SOLARWORLD ENERGY SOL LTD,NSE
GALAPREC,BSE_EQ|INE0RE001014,B,Gala Precision Engineering Lim,BSE
MODISONLTD,BSE_EQ|INE737D01021,B,MODISON LIMITED,BSE
GODFRYPHLP,BSE_EQ|INE260B01028,A,GODFREY PHILLIPS INDIA LTD.,BSE
IL&FSTRANS,BSE_EQ|INE975G01012,Z,IL&FS TRANSPORTATION NETWORKS,BSE
RATEGAIN,NSE_EQ|INE0CLI01024,EQ,RATEGAIN TRAVEL TECHN LTD,NSE
MIDWESTLTD,NSE_EQ|INE0XAD01024,EQ,MIDWEST LIMITED,NSE
WANBURY,BSE_EQ|INE107F01022,B,WANBURY LTD.,BSE
ASMS,BSE_EQ|INE855F01042,T,BARTRONICS INDIA LTD.,BSE
BECTORFOOD,NSE_EQ|INE495P01012,EQ,MRS BECTORS FOOD SPE LTD,NSE
ONWARDTEC,NSE_EQ|INE229A01017,EQ,ONWARD TECHNOLOGIES LTD,NSE
ANKITMETAL,BSE_EQ|INE106I01010,Z,ANKIT METAL & POWER LTD.,BSE
TATACOMM,BSE_EQ|INE151A01013,A,TATA COMMUNICATIONS LTD.,BSE
VOLTAMP,BSE_EQ|INE540H01012,A,VOLTAMP TRANSFORMERS LTD.,BSE
WAAREEENER,NSE_EQ|INE377N01017,EQ,WAAREE ENERGIES LIMITED,NSE
TVSSRICHAK,BSE_EQ|INE421C01016,B,TVS SRICHAKRA LTD.,BSE
EXCELINDUS,BSE_EQ|INE369A01029,B,EXCEL INDUSTRIES LTD.,BSE
ELECTHERM,NSE_EQ|INE822G01016,EQ,ELECTROTHERM (I) LTD.,NSE
INDOUS,NSE_EQ|INE250Z01010,EQ,INDO US BIOTECH LTD,NSE
UNIECOM,NSE_EQ|INE00U401027,EQ,UNICOMMERCE ESOLUTIONS L,NSE
KRITINUT,BSE_EQ|INE798K01010,B,KRITI NUTRIENTS LTD,BSE
PRIMESECU,BSE_EQ|INE032B01021,B,PRIME SECURITIES LTD.,BSE
GODREJPROP,NSE_EQ|INE484J01027,EQ,GODREJ PROPERTIES LTD,NSE
MANOMAY,NSE_EQ|INE784W01015,EQ,MANOMAY TEX INDIA LTD,NSE
SAREGAMA,NSE_EQ|INE979A01025,EQ,SAREGAMA INDIA LIMITED,NSE
GIPCL,BSE_EQ|INE162A01010,B,GUJARAT INDUSTRIES POWER CO.LT,BSE
IRCTC,BSE_EQ|INE335Y01020,A,Indian Railway Catering and To,BSE
NCLIND,BSE_EQ|INE732C01016,B,NCL INDUSTRIES LTD.,BSE
GLOBALVECT,NSE_EQ|INE792H01019,EQ,GLOBAL VEC HELICORP LTD,NSE
BASF,BSE_EQ|INE373A01013,A,BASF INDIA LTD.,BSE
AHLEAST,BSE_EQ|INE926K01017,B,ASIAN HOTELS (EAST) LTD.,BSE
DEEP,BSE_EQ|INE00IY01012,B,Deep Polymers Limited,BSE
FACT,NSE_EQ|INE188A01015,EQ,FACT LTD,NSE
ENERGYDEV,BSE_EQ|INE306C01019,B,ENERGY DEVELOPMENT COMPANY LTD,BSE
NMDC,BSE_EQ|INE584A01023,A,NMDC LTD.,BSE
TRENT,BSE_EQ|INE849A01020,A,TRENT LTD.,BSE
CAPPIPES,BSE_EQ|INE513R01026,B,Captain Pipes Limited,BSE
AIAENG,BSE_EQ|INE212H01026,A,AIA ENGINEERING LTD.,BSE
HEROMOTOCO,BSE_EQ|INE158A01026,A,HERO MOTOCORP LTD.,BSE
GOCLCORP,BSE_EQ|INE077F01035,B,GOCL Corporation Limited,BSE
RADIOCITY,BSE_EQ|INE919I01024,B,Music Broadcast Limited,BSE
AUTOIND,NSE_EQ|INE718H01014,EQ,AUTOLINE INDUSTRIES LTD,NSE
HARRMALAYA,NSE_EQ|INE544A01019,EQ,HARRISON MALAYALAM LTD,NSE
PASHUPATI,BSE_EQ|INE124Y01010,B,Pashupati Cotspin Limited,BSE
BEML,BSE_EQ|INE258A01024,A,BEML LTD.,BSE
KRITIKA,NSE_EQ|INE00Z501029,EQ,KRITIKA WIRES LIMITED,NSE
LINDEINDIA,BSE_EQ|INE473A01011,A,Linde India Limited,BSE
RUCHIRA,BSE_EQ|INE803H01014,B,RUCHIRA PAPERS LTD.,BSE
GRASIM,BSE_EQ|INE047A01021,A,GRASIM INDUSTRIES LTD.,BSE
KAMATHOTEL,BSE_EQ|INE967C01018,B,KAMAT HOTELS (INDIA) LTD.,BSE
HMT,BSE_EQ|INE262A01018,Z,HMT LTD.,BSE
HILTON,NSE_EQ|INE788H01017,EQ,HILTON METAL FORGING LTD,NSE
NETWEB,BSE_EQ|INE0NT901020,A,NETWEB TECHNOLOGIES INDIA LIMI,BSE
VEDL,NSE_EQ|INE205A01025,EQ,VEDANTA LIMITED,NSE
DNAMEDIA,BSE_EQ|INE016M01021,B,Diligent Media Corporation Lim,BSE
INDIANHUME,NSE_EQ|INE323C01030,EQ,INDIAN HUME PIPE CO. LTD.,NSE
MSUMI,BSE_EQ|INE0FS801015,A,Motherson Sumi Wiring India Li,BSE
NAVA,BSE_EQ|INE725A01030,A,NAVA LIMITED,BSE
SBGLP,BSE_EQ|INE05ST01028,B,SURATWWALA BUSINESS GROUP LIMI,BSE
VSTL,NSE_EQ|INE0QTF01015,EQ,VIBHOR STEEL TUBES LTD,NSE
PREMIERPOL,NSE_EQ|INE309M01020,EQ,PREMIER POLYFILM LTD,NSE
EKC,BSE_EQ|INE184H01027,B,EVEREST KANTO CYLINDER LTD.,BSE
KSL,NSE_EQ|INE907A01026,EQ,KALYANI STEELS LIMITED,NSE
SIGIND,BSE_EQ|INE529F01035,B,SIGNET INDUSTRIES LIMITED,BSE
PGEL,BSE_EQ|INE457L01029,A,PG ELECTROPLAST LTD.,BSE
GOACARBON,BSE_EQ|INE426D01013,B,GOA CARBON LTD.,BSE
PVP,BSE_EQ|INE362A01016,T,PVP VENTURES LTD.,BSE
JSWINFRA,BSE_EQ|INE880J01026,A,JSW Infrastructure Limited,BSE
STCINDIA,NSE_EQ|INE655A01013,EQ,THE STATE TRADING CORPN,NSE
VMART,BSE_EQ|INE665J01013,A,V-MART RETAIL LTD.,BSE
AWFIS,BSE_EQ|INE108V01019,B,Awfis Space Solutions Limited,BSE
EIHAHOTELS,BSE_EQ|INE276C01014,B,EIH ASSOCIATED HOTELS LTD.,BSE
SDBL,BSE_EQ|INE480C01038,B,SOM DISTILLERIES & BREWERIES L,BSE
MAGADSUGAR,NSE_EQ|INE347W01011,EQ,MAGADH SUGAR & ENERGY LTD,NSE
ABCAPITAL,BSE_EQ|INE674K01013,A,Aditya Birla Capital Ltd,BSE
ENTERO,NSE_EQ|INE010601016,EQ,ENTERO HEALTHCARE SOLU L,NSE
ALIVUS,BSE_EQ|INE03Q201024,A,ALIVUS LIFE SCIENCES LIMITED,BSE
HINFLUR,BSE_EQ|INE806J01013,B,HINDUSTAN FLUOROCARBONS LTD.,BSE
PILANIINVS,BSE_EQ|INE417C01014,B,Pilani Investment And Industri,BSE
VIDHIING,BSE_EQ|INE632C01026,B,Vidhi Specialty Food Ingredien,BSE
MAXHEALTH,NSE_EQ|INE027H01010,EQ,MAX HEALTHCARE INS LTD,NSE
SPIC,BSE_EQ|INE147A01011,B,SOUTHERN PETROCHEMICALS LTD.,BSE
DEN,NSE_EQ|INE947J01015,EQ,DEN NETWORKS LTD,NSE
FCL,NSE_EQ|INE045J01034,EQ,FINEOTEX CHEMICAL LIMITED,NSE
LAOPALA,BSE_EQ|INE059D01020,B,LA OPALA RG LTD.,BSE
BBTCL,NSE_EQ|INE01EE01011,EQ,B&B TRIPLEWALL CONT LTD,NSE
NEELKAN,BSE_EQ|INE741D01015,Z,NEELKANTH ROCKMINERALS LTD.,BSE
KOVAI,BSE_EQ|INE177F01017,B,KOVAI MEDICAL CENTER & HOSPITA,BSE
RAMCOIND,BSE_EQ|INE614A01028,B,RAMCO INDUSTRIES LTD.,BSE
HARDWYN,NSE_EQ|INE626Z01029,EQ,HARDWYN INDIA LIMITED,NSE
MOLDTKPAC,NSE_EQ|INE893J01029,EQ,MOLD-TEK PACKAGING LTD,NSE
PFOCUS,NSE_EQ|INE367G01038,EQ,PRIME FOCUS LIMITED,NSE
ANUROOP,BSE_EQ|INE490Z01012,B,Anuroop Packaging Limited,BSE
HTMEDIA,BSE_EQ|INE501G01024,T,HT MEDIA LTD.,BSE
NAM-INDIA,NSE_EQ|INE298J01013,EQ,NIPPON L I A M LTD,NSE
HUDCO,BSE_EQ|INE031A01017,A,Housing &Urban Development Cor,BSE
ENERGYDEV,NSE_EQ|INE306C01019,EQ,ENERGY DEVE. CO.LTD,NSE
KESORAMIND,BSE_EQ|INE087A01019,A,KESORAM INDUSTRIES LTD.,BSE
SHEMAROO,BSE_EQ|INE363M01019,B,SHEMAROO ENTERTAINMENT LIMITED,BSE
KAPSTON,NSE_EQ|INE542Z01028,EQ,KAPSTON SERVICES LIMITED,NSE
LMW,NSE_EQ|INE269B01029,EQ,LMW LIMITED,NSE
DWARKESH,BSE_EQ|INE366A01041,B,DWARIKESH SUGAR INDUSTRIES LTD,BSE
TRACXN,NSE_EQ|INE0HMF01019,EQ,TRACXN TECHNOLOGIES LTD,NSE
GRANULES,NSE_EQ|INE101D01020,EQ,GRANULES INDIA LIMITED,NSE
SHUBHAM,BSE_EQ|INE01J501010,T,Shubham Polyspin Limited,BSE
TBOTEK,BSE_EQ|INE673O01025,A,TBO TEK LIMITED,BSE
GLOSTERLTD,NSE_EQ|INE350Z01018,EQ,GLOSTER LIMITED,NSE
JHS,BSE_EQ|INE544H01014,B,JHS SVENDGAARD LABORATORIES LT,BSE
PHOENIXLTD,BSE_EQ|INE211B01039,A,THE PHOENIX MILLS LTD,BSE
DHUNINV,BSE_EQ|INE320L01011,B,DHUNSERI INVESTMENTS LTD.,BSE
RITCO,BSE_EQ|INE01EG01016,B,Ritco Logistics Limited,BSE
AIAENG,NSE_EQ|INE212H01026,EQ,AIA ENGINEERING LIMITED,NSE
CAPACITE,NSE_EQ|INE264T01014,EQ,CAPACITE INFRAPROJECT LTD,NSE
MOTOGENFIN,BSE_EQ|INE861B01023,B,MOTOR & GENERAL FINANCE LTD.,BSE
SHRIPISTON,BSE_EQ|INE526E01018,B,SHRIRAM PISTONS & RINGS LTD,BSE
CINEVISTA,NSE_EQ|INE039B01026,EQ,CINEVISTA LIMITED,NSE
KELLTONTEC,NSE_EQ|INE164B01030,EQ,KELLTON TECH SOL LTD,NSE
AUSOMENT,BSE_EQ|INE218C01016,B,AUSOM ENTERPRISE LIMITED,BSE
MUFIN,NSE_EQ|INE08KJ01020,EQ,MUFIN GREEN FINANCE LTD,NSE
MUTHOOTFIN,BSE_EQ|INE414G01012,A,MUTHOOT FINANCE LTD.,BSE
EXCELINDUS,NSE_EQ|INE369A01029,EQ,EXCEL INDUSTRIES LTD,NSE
HEUBACHIND,NSE_EQ|INE492A01029,EQ,HEUBACH COLORANTS IND LTD,NSE
ASHOKA,NSE_EQ|INE442H01029,EQ,ASHOKA BUILDCON LTD,NSE
KAMDHENU,BSE_EQ|INE390H01020,B,Kamdhenu Limited,BSE
ASIANTILES,BSE_EQ|INE022I01019,B,ASIAN GRANITO INDIA LTD.,BSE
KIMS,NSE_EQ|INE967H01025,EQ,KRISHNA INST OF MED SCI L,NSE
INDSWFTLAB,NSE_EQ|INE915B01019,EQ,IND SWIFT LABORATORIES LT,NSE
STARPAPER,NSE_EQ|INE733A01018,EQ,STAR PAPER MILLS LTD,NSE
BENARAS,BSE_EQ|INE664D01019,B,BENARES HOTELS LTD.,BSE
LUMAXIND,NSE_EQ|INE162B01018,EQ,LUMAX INDUSTRIES LTD,NSE
SANSERA,NSE_EQ|INE953O01021,EQ,SANSERA ENGINEERING LTD,NSE
SILINV,BSE_EQ|INE923A01015,T,SIL INVESTMENTS LTD.,BSE
CHOLAFIN,NSE_EQ|INE121A01024,EQ,CHOLAMANDALAM IN & FIN CO,NSE
NAVKARCORP,BSE_EQ|INE278M01019,B,Navkar Corporation Limited,BSE
CASTROLIND,BSE_EQ|INE172A01027,A,CASTROL INDIA LTD.,BSE
VGIL,BSE_EQ|INE244W01010,B,Veer Global Infraconstruction ,BSE
NEOGEN,NSE_EQ|INE136S01016,EQ,NEOGEN CHEMICALS LIMITED,NSE
DRREDDY,BSE_EQ|INE089A01031,A,DR.REDDYS LABORATORIES LTD.,BSE
POLYPLEX,BSE_EQ|INE633B01018,B,POLYPLEX CORPORATION LTD.,BSE
NITINSPIN,BSE_EQ|INE229H01012,B,NITIN SPINNERS LTD.,BSE
RKSWAMY,BSE_EQ|INE0NQ801033,B,R K Swamy Limited,BSE
ARVIND,NSE_EQ|INE034A01011,EQ,ARVIND LIMITED,NSE
DHRUV,NSE_EQ|INE506Z01015,EQ,DHRUV CONSULTANCY SER LTD,NSE
MURAE,BSE_EQ|INE060601031,B,Murae Organisor Limited,BSE
CAPACITE,BSE_EQ|INE264T01014,B,Capacit'e Infraprojects Limite,BSE
SECURKLOUD,NSE_EQ|INE650K01021,EQ,SECUREKLOUD TECH LIMITED,NSE
UYFINCORP,NSE_EQ|INE152C01025,EQ,U. Y. FINCORP LIMITED,NSE
EPIGRAL,BSE_EQ|INE071N01016,A,Epigral Limited,BSE
DBOL,NSE_EQ|INE0I3401014,EQ,DHAMPUR BIO ORGANICS LTD,NSE
TRU,BSE_EQ|INE615R01029,B,TruCap Finance Limited,BSE
TPHQ,BSE_EQ|INE065J01024,B,Teamo Productions HQ Limited,BSE
AVL,NSE_EQ|INE679V01027,EQ,ADITYA VISION LIMITED,NSE
GAEL,BSE_EQ|INE036B01030,A,GUJARAT AMBUJA EXPORTS LTD.,BSE
DCBBANK,NSE_EQ|INE503A01015,EQ,DCB BANK LIMITED,NSE
SHEMAROO,NSE_EQ|INE363M01019,EQ,SHEMAROO ENTER. LTD.,NSE
AVG,BSE_EQ|INE680Z01018,B,AVG Logistics Limited,BSE
DMCC,BSE_EQ|INE505A01010,B,DMCC SPECIALITY CHEMICALS LIMI,BSE
GREENPANEL,BSE_EQ|INE08ZM01014,B,Greenpanel Industries Limited,BSE
SHIVAMILLS,NSE_EQ|INE644Y01017,EQ,SHIVA MILLS LIMITED,NSE
GRANULES,BSE_EQ|INE101D01020,A,GRANULES INDIA LTD.,BSE
MIRZAINT,BSE_EQ|INE771A01026,B,MIRZA INTERNATIONAL LTD.,BSE
TEJASNET,NSE_EQ|INE010J01012,EQ,TEJAS NETWORKS LIMITED,NSE
MIIL,BSE_EQ|INE898Q01015,B,Meghna Infracon Infrastructure,BSE
AFSL,BSE_EQ|INE00ZE01026,B,ABANS FINANCIAL SERVICES LIMIT,BSE
GROWINGTON,BSE_EQ|INE451S01027,T,GROWINGTON VENTURES INDIA LIMI,BSE
SHANTIGEAR,NSE_EQ|INE631A01022,EQ,SHANTHI GEARS LTD,NSE
SABTNL,NSE_EQ|INE416A01044,EQ,SRI ADHIKARI BRO TELE N L,NSE
EBGNG,NSE_EQ|INE18JU01028,EQ,GNG ELECTRONICS LIMITED,NSE
DHUNINV,NSE_EQ|INE320L01011,EQ,DHUNSERI INVESTMENTS LTD,NSE
PSB,NSE_EQ|INE608A01012,EQ,PUNJAB & SIND BANK,NSE
BMW,BSE_EQ|INE374E01021,B,BMW INDUSTRIES LIMITED,BSE
ARSSBL,NSE_EQ|INE549H01021,EQ,ANAND RATHI SH N STK BR L,NSE
MONARCH,BSE_EQ|INE903D01011,B,Monarch Networth Capital Limit,BSE
KAMAHOLD,BSE_EQ|INE411F01010,T,KAMA HOLDINGS LIMITED,BSE
KOTHARIPRO,NSE_EQ|INE823A01017,EQ,KOTHARI PRODUCTS LTD,NSE
MMLF,BSE_EQ|INE340O01021,B,MONEY MASTERS LEASING & FINANC,BSE
MEDANTA,NSE_EQ|INE474Q01031,EQ,GLOBAL HEALTH LIMITED,NSE
VPRPL,NSE_EQ|INE0AE001013,EQ,VISHNU PRAKASH R PUNGLI L,NSE
BORORENEW,BSE_EQ|INE666D01022,A,BOROSIL RENEWABLES LIMITED,BSE
PFS,BSE_EQ|INE560K01014,B,PTC INDIA FINANCIAL SERVICES L,BSE
GOODLUCK,BSE_EQ|INE127I01024,B,Goodluck India Limited,BSE
LUPIN,BSE_EQ|INE326A01037,A,LUPIN LTD.,BSE
ARCHIES,NSE_EQ|INE731A01020,EQ,ARCHIES LTD,NSE
DODLA,NSE_EQ|INE021O01019,EQ,DODLA DAIRY LIMITED,NSE
GMMPFAUDLR,BSE_EQ|INE541A01023,A,GMM PFAUDLER LTD.,BSE
NITINSPIN,NSE_EQ|INE229H01012,EQ,NITIN SPINNERS LIMITED,NSE
TRIVENI,BSE_EQ|INE256C01024,A,TRIVENI ENGINEERING & INDUSTRI,BSE
SCHNEIDER,NSE_EQ|INE839M01018,EQ,SCHNEIDER ELECTRIC INFRA,NSE
SEPC,BSE_EQ|INE964H01014,B,SEPC LIMITED,BSE
THELEELA,NSE_EQ|INE0AQ201015,EQ,LEELA PALACES HOTEL LTD,NSE
PGHH,NSE_EQ|INE179A01014,EQ,P&G HYGIENE & HEALTH CARE,NSE
INDIQUBE,NSE_EQ|INE06ST01018,EQ,INDIQUBE SPACES LIMITED,NSE
PNC,BSE_EQ|INE392B01011,T,PRITISH NANDY COMMUNICATIONS L,BSE
ORTEL,BSE_EQ|INE849L01019,Z,Ortel Communications Limited,BSE
NACLIND,BSE_EQ|INE295D01020,T,NACL Industries Limited,BSE
SECURKLOUD,BSE_EQ|INE650K01021,B,SECUREKLOUD TECHNOLOGIES LIMIT,BSE
UNIVCABLES,NSE_EQ|INE279A01012,EQ,UNIVERSAL CABLES LTD,NSE
ASAL,BSE_EQ|INE900C01027,B,AUTOMOTIVE STAMPINGS & ASSEMBL,BSE
DBOL,BSE_EQ|INE0I3401014,B,Dhampur Bio Organics Limited,BSE
SJVN,BSE_EQ|INE002L01015,A,SJVN LTD,BSE
TDPOWERSYS,NSE_EQ|INE419M01027,EQ,TD POWER SYSTEMS LTD.,NSE
INDIGOPNTS,BSE_EQ|INE09VQ01012,A,Indigo Paints Limited,BSE
PRAJIND,NSE_EQ|INE074A01025,EQ,PRAJ INDUSTRIES LTD,NSE
TIINDIA,NSE_EQ|INE974X01010,EQ,TUBE INVEST OF INDIA LTD,NSE
COASTCORP,NSE_EQ|INE377E01024,EQ,COASTAL CORPORATION LTD,NSE
UNITDSPR,NSE_EQ|INE854D01024,EQ,UNITED SPIRITS LIMITED,NSE
MPSLTD,BSE_EQ|INE943D01017,B,MPS LTD.,BSE
PENINLAND,BSE_EQ|INE138A01028,B,PENINSULA LAND LTD.,BSE
VIPCLOTHNG,NSE_EQ|INE450G01024,EQ,VIP CLOTHING LIMITED,NSE
CRIZAC,NSE_EQ|INE0S4R01014,EQ,CRIZAC LIMITED,NSE
PRICOLLTD,NSE_EQ|INE726V01018,EQ,PRICOL LIMITED,NSE
FABTECH,NSE_EQ|INE0HF201011,EQ,FABTECH TECHNOLOGIES LTD,NSE
NAVKARCORP,NSE_EQ|INE278M01019,EQ,NAVKAR CORPORATION LTD.,NSE
TUTIALKA,BSE_EQ|INE400A01014,B,TUTICORIN ALKALI CHEMICALS AND,BSE
ATL,BSE_EQ|INE0NN701020,B,Allcargo Terminals Limited,BSE
INDIQUBE,BSE_EQ|INE06ST01018,B,INDIQUBE SPACES LIMITED,BSE
BAJAJFINSV,BSE_EQ|INE918I01026,A,BAJAJ FINSERV LTD.,BSE
SUVEN,NSE_EQ|INE495B01038,EQ,SUVEN LIFE SCIENCES LTD,NSE
SPAL,BSE_EQ|INE212I01016,B,S.P. Apparels Limited,BSE
VIVIDHA,BSE_EQ|INE370E01029,B,VISAGAR POLYTEX LTD.,BSE
MODTHREAD,NSE_EQ|INE794W01014,EQ,MODERN THREADS INDIA LTD,NSE
RATNAVEER,BSE_EQ|INE05CZ01011,B,Ratnaveer Precision Engineerin,BSE
OMFREIGHT,NSE_EQ|INE1BZC01019,EQ,OM FREIGHT FORWARDERS LTD,NSE
UCAL,BSE_EQ|INE139B01016,B,UCAL LIMITED,BSE
GMMPFAUDLR,NSE_EQ|INE541A01023,EQ,GMM PFAUDLER LIMITED,NSE
SCHNEIDER,BSE_EQ|INE839M01018,A,SCHNEIDER ELECTRIC INFRASTRUCT,BSE
STARTECK,BSE_EQ|INE992I01013,B,STARTECK FINANCE LIMITED,BSE
STLNETWORK,BSE_EQ|INE1VXE01018,B,STL Networks Limited,BSE
JSL,NSE_EQ|INE220G01021,EQ,JINDAL STAINLESS LIMITED,NSE
ADANIPORTS,NSE_EQ|INE742F01042,EQ,ADANI PORT & SEZ LTD,NSE
JAYSREETEA,BSE_EQ|INE364A01020,B,JAY SHREE TEA & INDUSTRIES LTD,BSE
THELEELA,BSE_EQ|INE0AQ201015,B,Leela Palaces Hotels & Resorts,BSE
AFSL,NSE_EQ|INE00ZE01026,EQ,ABANS FINANCIAL SRVCS LTD,NSE
VOLTAS,NSE_EQ|INE226A01021,EQ,VOLTAS LTD,NSE
BAGFILMS,BSE_EQ|INE116D01028,B,B.A.G.FILMS & MEDIA LTD.,BSE
RUSTOMJEE,NSE_EQ|INE263M01029,EQ,KEYSTONE REALTORS LIMITED,NSE
AVADHSUGAR,NSE_EQ|INE349W01017,EQ,AVADH SUG & ENERGY LTD,NSE
GOODLUCK,NSE_EQ|INE127I01024,EQ,GOODLUCK INDIA LIMITED,NSE
UNIVCABLES,BSE_EQ|INE279A01012,B,UNIVERSAL CABLES LTD.,BSE
RPEL,BSE_EQ|INE912T01018,B,RAGHAV PRODUCTIVITY ENHANCERS ,BSE
NURECA,BSE_EQ|INE0DSF01015,T,Nureca Limited,BSE
NIRLON,BSE_EQ|INE910A01012,B,NIRLON LTD.,BSE
OSWALPUMPS,BSE_EQ|INE0BYP01024,B,Oswal Pumps Limited,BSE
NETWEB,NSE_EQ|INE0NT901020,EQ,NETWEB TECH INDIA LTD,NSE
KENVI,BSE_EQ|INE923Y01023,B,Kenvi Jewels Limited,BSE
PNCINFRA,BSE_EQ|INE195J01029,A,PNC Infratech Limited,BSE
SIMBHALS,BSE_EQ|INE748T01016,Z,Simbhaoli Sugars Ltd,BSE
HBLENGINE,NSE_EQ|INE292B01021,EQ,HBL ENGINEERING LTD,NSE
